dataset_data_id,dataset_data_title,dataset_data_id_refer,dataset_data_subtitle1,dataset_data_subtitle2,dataset_data_subtitle3,dataset_data_subtitle4,main
276,"ต.บางสมัคร อ.บางปะกง จ.ฉะเชิงเทรา 24180",152,,"\N","\N","\N","\N"
277,"ต.บางบ่อ อ.บางบ่อ จ.ฉะเชิงเทรา 15050",152,,"\N","\N","\N","\N"
346,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
347,"ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง 21150",152,"\N","\N","\N","\N","\N"
348,"ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง 21150",152,"\N","\N","\N","\N","\N"
349,"ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง 21150",152,"\N","\N","\N","\N","\N"
350,"ต. มาบตาพุด อ. เมืองระยอง จ. ระยอง 21150",152,"\N","\N","\N","\N","\N"
351,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
352,"ต. ด่านสวี อ. สวี จ. ชุมพร 86130",152,"\N","\N","\N","\N","\N"
353,"ต. ท่าตูม อ. เมืองมหาสารคาม จ. มหาสารคาม 44000",152,"\N","\N","\N","\N","\N"
354,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
355,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
356,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
357,"ต. สัตหีบ อ. สัตหีบ จ. ชลบุรี 20180",152,"\N","\N","\N","\N","\N"
358,"ต. ตะเสะ อ. หาดสำราญ จ. ตรัง 92120",152,"\N","\N","\N","\N","\N"
359,"ต. หาดทรายรี อ. เมืองชุมพร จ. ชุมพร 86120",152,"\N","\N","\N","\N","\N"
360,"ต. ปากคลอง อ. ปะทิว จ. ชุมพร 86210",152,"\N","\N","\N","\N","\N"
361,"ต. ปากตะโก อ. ทุ่งตะโก จ. ชุมพร 86220",152,"\N","\N","\N","\N","\N"
362,"ต. ปากคลอง อ. ปะทิว จ. ชุมพร 86210",152,"\N","\N","\N","\N","\N"
363,"ต. เกาะสาหร่าย อ. เมืองสตูล จ. สตูล 91000",152,"\N","\N","\N","\N","\N"
364,"ต. อ่างทอง อ. เกาะสมุย จ. สุราษฎร์ธานี 84140",152,"\N","\N","\N","\N","\N"
