id,fo_id,qt_id,qt_description,qt_unit,qt_type,qt_price,qt_discount,discount_sum,sum,total,id_promotion,date_qt,flow,save,revision,id_refer,space,price_criteria
85,0,8," -บริการยื่นขอมาตราฐาน HALAL ",1,,80000.00,0.00,0.00,0.00,80000.00,0,0000-00-00,1,0,0,63,0,0
103,0,6," ขอใบรับรองระบบคุณภาพ",3,,12000.00,2000.00,0.00,0.00,30000.00,0,0000-00-00,1,0,2,80,0,0
104,0,6," ค่าบริการ BRC",2,,14000.00,2000.00,0.00,0.00,24000.00,0,0000-00-00,1,0,2,80,0,0
108,0,10," ขอใบรับรองระบบคุณภาพ",3,,12000.00,0.00,0.00,0.00,36000.00,0,0000-00-00,1,0,0,85,0,0
109,0,11," ขอใบรับรองระบบคุณภาพ",3,,12000.00,0.00,0.00,0.00,36000.00,0,0000-00-00,1,0,0,86,0,0
113,0,1812000010," ขอใบรับรองระบบคุณภาพ",1,,12000.00,0.00,0.00,0.00,0.00,0,0000-00-00,1,0,0,88,0,0
117,0,1905000018," ขอใบรับรองระบบคุณภาพ",3,,12000.00,0.00,0.00,0.00,0.00,0,0000-00-00,1,0,0,92,0,0
118,0,1905000019," ขอใบรับรองระบบคุณภาพ",1,,12000.00,0.00,0.00,0.00,0.00,0,0000-00-00,1,0,0,93,0,0
137,0,1905000019," -บริการยื่นขอมาตราฐาน HALAL ",1,,80000.00,0.00,0.00,0.00,0.00,0,0000-00-00,1,0,2,111,0,0
138,0,1905000019," -บริการยื่นขอมาตราฐาน HALAL ",1,,80000.00,0.00,0.00,0.00,0.00,0,0000-00-00,1,0,2,111,0,0
176,0,1905000021," ค่าบริการ BRC",2,,14000.00,500.00,0.00,28000.00,27500.00,0,0000-00-00,1,0,0,135,0,0
177,0,1905000021," ขอใบรับรองระบบคุณภาพ",1,,12000.00,0.00,0.00,12000.00,12000.00,0,0000-00-00,1,0,0,135,0,0
189,0,1905000023," ขอใบรับรองระบบคุณภาพ",3,,12000.00,0.00,0.00,36000.00,36000.00,0,0000-00-00,1,0,0,147,0,0
193,0,1905000023," ขอใบรับรองระบบคุณภาพ",3,,12000.00,300.00,0.00,36000.00,35700.00,0,0000-00-00,1,0,1,151,0,0
195,0,1905000023," ขอใบรับรองระบบคุณภาพ",3,,12000.00,500.00,0.00,36000.00,35500.00,0,0000-00-00,1,0,2,153,0,0
